SampleType,CellType,Treatment,viruses within nucleus
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,1
THP1,mac,12hpi,2
THP1,mac,12hpi,2
THP1,mac,12hpi,2
THP1,mac,12hpi,2
THP1,mac,12hpi,2
THP1,mac,12hpi,2
THP1,mac,12hpi,2
THP1,mac,12hpi,2
THP1,mac,12hpi,2
