SampleType,CellType,Treatment,viruses within nucleus
primary,mac,12hpi,1
primary,mac,12hpi,1
primary,mac,12hpi,1
primary,mac,12hpi,1
primary,mac,12hpi,1
primary,mac,12hpi,1
primary,mac,12hpi,1
primary,mac,12hpi,1
primary,mac,12hpi,1
primary,mac,12hpi,1
primary,mac,12hpi,1
primary,mac,12hpi,1
primary,mac,12hpi,1
primary,mac,12hpi,1
primary,mac,12hpi,1
primary,mac,12hpi,1
primary,mac,12hpi,1
primary,mac,12hpi,1
primary,mac,12hpi,1
primary,mac,12hpi,1
primary,mac,12hpi,1
primary,mac,12hpi,1
primary,mac,12hpi,1
primary,mac,12hpi,1
primary,mac,12hpi,1
primary,mac,12hpi,2
primary,mac,12hpi,2
primary,mac,12hpi,2
primary,mac,12hpi,3
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,0
THP1,mono,12hpi,1
THP1,mono,12hpi,1
THP1,mono,12hpi,1
THP1,mono,12hpi,2
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
THP1,mac,12hpi,0
