countyname,statename,fips_1,sociod_eqi_2jan2018_vc,air_eqi_2jan2018_vc,land_eqi_2jan2018_vc,water_eqi_2jan2018_vc,eqi_2jan2018_vc,pctnonwhite10,gdp2017b,metro,fac_penalty_count,CIDDist,FinalEC,estab,EPAregion,cases_2011,cases_2012,cases_2013,cases_2014,cases_2015,cases_2016,cases_2017,cases_2018,cases_2019,cases_2020,proportionObama
Latah County,Idaho,16057,1.4947242,-1.0286949,-.39753199,-.020658927,-.36135459,9.3921165,1.2935539,0,4,327.8317662230212,0,29,10,0,0,0,0,0,0,0,0,0,0,0
Lemhi County,Idaho,16059,-.2414822,-.20138291,1.4206824,1.3682517,1.6322734,4.952117,.22684599,0,0,164.0190812703356,0,8,10,0,0,0,0,0,0,0,0,0,0,0
Lewis County,Idaho,16061,-.50675118,1.8185186,-.33226252,1.3739514,2.0998735,11.0704,.14007901,0,5,266.2553486848721,0,6,10,0,0,0,0,0,0,0,0,0,0,0
Lincoln County,Idaho,16063,-.80710453,.87505072,-.10027973,-.8228063,.17753297,30.741167,.25543901,0,0,137.9302166906468,0,3,10,0,0,0,0,0,0,0,0,0,0,0
Madison County,Idaho,16065,.28743252,1.1119127,-1.2052164,-.11945226,-.14243002,8.8395138,1.1424921,0,4,296.9079613290423,2,36,10,1,0,0,0,0,1,0,0,0,0,1
Minidoka County,Idaho,16067,-.89279044,-.59364134,-1.2957313,-.92593986,-.60081506,34.750114,.70912498,0,7,206.0118133524603,0,38,10,0,0,0,0,0,0,0,0,0,0,0
Nez Perce County,Idaho,16069,.4138436,.60823792,-.12298289,-.49226686,.65113801,11.282312,2.000701,1,19,253.3128574345999,1,43,10,0,1,0,0,0,0,0,0,0,0,1
Oneida County,Idaho,16071,-.62578362,-.60590827,.5029043,1.3827871,.69318265,4.9696689,.124014,0,0,139.0254256572673,0,5,10,0,0,0,0,0,0,0,0,0,0,0
Owyhee County,Idaho,16073,-.99761629,.98258257,.89496869,-1.057153,.34531909,31.745619,.37151399,1,6,40.41561532370166,0,6,10,0,0,0,0,0,0,0,0,0,0,0
Payette County,Idaho,16075,-.22426459,.29413506,-.72762847,-.92024577,-.018863587,18.719887,.77906501,0,3,45.95005618100148,1,31,10,1,0,0,0,0,0,0,0,0,0,1
Power County,Idaho,16077,-.29353148,-.25615928,-.4292385,-1.0147009,-.4849565,33.93885,.366763,0,5,185.9971123091041,0,8,10,0,0,0,0,0,0,0,0,0,0,0
Shoshone County,Idaho,16079,-.36232626,.81784499,3.0147004,-.8007493,2.1240876,6.5491581,.463186,0,4,227.3092380864246,0,14,10,0,0,0,0,0,0,0,0,0,0,0
Teton County,Idaho,16081,1.5193458,.81542701,-.63091558,1.3720657,1.0087198,18.525074,.31962401,0,0,299.3475128822926,0,16,10,0,0,0,0,0,0,0,0,0,0,0
Twin Falls County,Idaho,16083,.21905287,.77272803,-.62413943,-.95025373,.42304507,17.336527,3.5617499,0,16,122.8636066805768,1,94,10,1,0,0,0,0,0,0,0,0,0,1
Valley County,Idaho,16085,.50582403,-.019720221,1.705469,1.3720267,1.7714508,5.93186,.46166801,0,2,59.1593869822596,0,14,10,0,0,0,0,0,0,0,0,0,0,0
Washington County,Idaho,16087,-.24530293,1.8933101,.38728073,-.95562238,1.5985515,19.925476,.440532,0,2,60.69986323273532,0,14,10,0,0,0,0,0,0,0,0,0,0,0
Adams County,Illinois,17001,.421186,.51247102,-.73524165,-.90211004,.064032145,6.9877653,3.4226921,0,4,140.9951694294081,0,75,5,0,0,0,0,0,0,0,0,0,0,0
Alexander County,Illinois,17003,-.78566945,-1.1313241,.081639506,-.8092429,-.16213706,39.512016,.155341,1,1,157.2962814814767,0,3,5,0,0,0,0,0,0,0,0,0,0,0
Bond County,Illinois,17005,-.036958527,-.43614441,-.78495014,1.3927788,-.45839155,11.092977,.54070503,1,0,53.67102602604677,0,17,5,0,0,0,0,0,0,0,0,0,0,0
Boone County,Illinois,17007,.41202018,-.34386703,-1.0861385,-1.4469674,-1.8029344,24.753992,1.72552,1,0,93.66198904338445,0,68,5,0,0,0,0,0,0,0,0,0,0,0
Brown County,Illinois,17009,-.94488406,-.97140968,-.36899528,1.3953577,-.49199048,25.169382,.472626,0,0,139.8168776461636,0,4,5,0,0,0,0,0,0,0,0,0,0,0
Bureau County,Illinois,17011,.083003387,-.29706663,-1.1976534,-1.4289438,-.68764877,10.020585,1.229862,0,7,131.006839566949,0,34,5,0,0,0,0,0,0,0,0,0,0,0
Calhoun County,Illinois,17013,-.59479052,-.76950669,-.04783329,.36586353,-.76960367,1.7292199,.097600996,1,0,40.85461676734197,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Carroll County,Illinois,17015,-.091863401,-.42671415,-1.092958,-1.5071771,-.3148146,5.1407032,.520401,0,1,169.3853674236203,0,22,5,0,0,0,0,0,0,0,0,0,0,0
Cass County,Illinois,17017,-.59123254,-.42382711,-1.0051314,-1.4476742,-.44703355,20.612814,.633147,0,0,139.999122709713,0,8,5,0,0,0,0,0,0,0,0,0,0,0
Champaign County,Illinois,17019,1.7808934,-.31888083,-.82646656,-1.3904729,-.62306088,29.147955,11.117088,1,3,151.3656605600708,0,121,5,0,0,0,0,0,0,0,0,0,0,0
Christian County,Illinois,17021,-.19796619,-.91290981,-.56992835,-1.3915818,-.98296273,4.2212644,1.556823,0,4,99.51820953567554,0,20,5,0,0,0,0,0,0,0,0,0,0,0
Clark County,Illinois,17023,-.20195536,-.50265747,-.77560252,-.88142115,-.73643237,2.509948,.497924,0,0,121.2281704108018,0,20,5,0,0,0,0,0,0,0,0,0,0,0
Clay County,Illinois,17025,-.69417459,-.28428841,-.65152138,-.16796698,-.13761231,2.7940643,.58375001,0,0,129.5457761678804,0,16,5,0,0,0,0,0,0,0,0,0,0,0
Clinton County,Illinois,17027,.34197101,-.20574324,-.977736,-.36734101,-.70158976,7.9339018,1.067283,1,4,42.59673548901163,0,36,5,0,0,0,0,0,0,0,0,0,0,0
Coles County,Illinois,17029,.26193744,-.29741415,-.85776597,-.10569731,-.40475607,8.4327955,2.4215469,0,2,153.7747506510714,0,40,5,0,0,0,0,0,0,0,0,0,0,0
Cook County,Illinois,17031,2.2011268,-.67603058,.91801578,-1.3431684,-.96535134,56.140511,397.83057,1,213,0,7,4526,5,1,1,1,2,1,1,0,0,0,0,1
Crawford County,Illinois,17033,-.59059,-2.0872531,-.94498461,-.64436489,-1.3422745,8.0789223,1.512321,0,3,142.771937654609,0,15,5,0,0,0,0,0,0,0,0,0,0,0
Cumberland County,Illinois,17035,-.62937927,-.44581953,-.71853036,-.10194738,-.82069325,2.108979,1.240935,0,0,160.7832345825857,0,13,5,0,0,0,0,0,0,0,0,0,0,0
DeKalb County,Illinois,17037,1.1565845,-.087299511,-1.0801389,-1.6866095,-1.2062498,20.288132,4.077312,1,5,80.03109290084946,0,108,5,0,0,0,0,0,0,0,0,0,0,0
De Witt County,Illinois,17039,.055578437,-.70263392,-.81158608,-1.4503813,-.81876332,4.2630277,1.121084,1,0,183.3835846323778,0,13,5,0,0,0,0,0,0,0,0,0,0,0
Douglas County,Illinois,17041,-.0469242,-.28783563,-.72687501,.4295626,-.17855184,7.7727728,.99076802,0,1,150.9160219468798,0,76,5,0,0,0,0,0,0,0,0,0,0,0
DuPage County,Illinois,17043,2.834064,-.39657414,.7190966,-1.0082268,-.83447003,29.532873,92.499596,1,41,23.90623356803244,0,1548,5,0,0,0,0,0,0,0,0,0,0,0
Edgar County,Illinois,17045,-.2885291,-1.6366762,-.9421587,-.83493799,-1.2377898,2.3363481,.82980603,0,2,116.6191506992174,0,19,5,0,0,0,0,0,0,0,0,0,0,0
Edwards County,Illinois,17047,-.75228143,-.42776945,-.61213762,.28766471,-.4557392,2.4698706,.31499499,0,0,177.206252248076,0,8,5,0,0,0,0,0,0,0,0,0,0,0
Effingham County,Illinois,17049,.20651002,-.25166675,-1.0533079,-1.142197,-.35740703,3.174464,2.0348821,0,0,124.2196348551033,0,56,5,0,0,0,0,0,0,0,0,0,0,0
Fayette County,Illinois,17051,-.33872566,-.45287025,-.6622442,-.81398451,-.78022748,7.0234871,.57999301,0,0,82.61614437691857,0,15,5,0,0,0,0,0,0,0,0,0,0,0
Ford County,Illinois,17053,-.10268539,-.12646167,-1.1190544,-1.3943785,-.33839801,3.9840922,.61164403,1,2,106.901194898764,1,19,5,0,0,0,0,1,0,0,0,0,0,1
Franklin County,Illinois,17055,-.45907521,-.08874803,-.4969559,1.3974481,.29756057,3.0535123,1.065257,0,1,108.2539951615977,0,35,5,0,0,0,0,0,0,0,0,0,0,0
